abandon	abandon [ə'bændən] (動) 放棄；拋棄
melancholic	melancholic [mə'læŋkɔlɪk] (形) 憂鬱的；悲傷的　(形) 沉鬱的；哀傷的
melancholy	melancholy ['mɛlənkɑli] (形) 憂鬱的；沮喪的　(名) 憂鬱；悲傷
melanism	melanism ['mɛləˌnɪzəm] (名) 黑色素增多症；黑化現象
melanistic	melanistic [mə'lænɪstɪk] (形) 黑化的；黑色素過多的
mellow	mellow ['mɛloʊ] (形) 柔和的；成熟的　(動) 變得柔和；使溫和
melody	melody ['mɛlədi] (名) 旋律；曲調　(名) 悅耳的聲音；音樂
melon	melon ['mɛlən] (名) 瓜；甜瓜
melt	melt ['mɛlt] (動) 融化；溶化　(動) 消散；逐漸消失
member	member ['mɛmbɚ] (名) 成員；會員　(名) 肢體；身體部分
membership	membership ['mɛmbɚʃɪp] (名) 會員資格；成員身分　(名) 會員總數；會員群體
meme	meme ['mem] (名) 網路迷因；文化基因單位
memento	memento ['mɛmɛnto] (名) 紀念品；紀念物
memo	memo ['mɛmo] (名) 備忘錄；便條　(動) 寫備忘錄給
memoir	memoir ['mɛmwɑr] (名) 回憶錄；傳記　(名) 個人的記憶；往事
memorable	memorable ['mɛmɚəbəl] (形) 難忘的；值得記住的　(形) 令人印象深刻的；顯著的
memorandum	memorandum ['mɛmərændəm] (名) 備忘錄；便條　(名) 公司內部通知
memorial	memorial ['mɛmɚɪəl] (名) 紀念碑；紀念物　(形) 紀念的；追悼的
memorize	memorize ['mɛməˌraɪz] (動) 記住；背誦　(動) 牢記；熟記
memory	memory ['mɛmɚi] (名) 記憶；記憶力　(名) 回憶；往事
menace	menace ['mɛnəs] (名) 威脅；危險　(動) 威脅；騷擾
mend	mend ['mɛnd] (動) 修理；修補　(動) 改善；改正
menial	menial ['minəl] (形) 低賤的；卑微的　(形) 瑣碎的；不重要的
meniscus	meniscus ['mɛnɪskəs] (名) 半月板；彎曲液面
mental	mental ['mɛntəl] (形) 心理的；精神的　(形) 心智的；頭腦的
mentality	mentality ['mɛntəlɪtɪ] (名) 心態；思想方式　(名) 心智能力；智力
mentally	mentally ['mɛntəli] (副) 在精神上；心理上　在頭腦中；智力上
menthol	menthol ['mɛnθɔl] (名) 薄荷醇；薄荷提取物
mention	mention ['mɛnʃən] (動) 提到；說起　(名) 提及；提到
mentor	mentor ['mɛntɚ] (名) 導師；良師　(動) 指導；輔導
menu	menu ['mɛnju] (名) 菜單；菜譜　(名) 功能表；選單
mercenary	mercenary ['mɝsənɛri] (形) 唯利是圖的；為金錢工作的　(名) 傭兵；雇傭軍人
merchandise	merchandise ['mɝtʃənˌdaɪz] (名) 商品；貨物　(動) 推銷；販售商品
merchant	merchant ['mɝtʃənt] (名) 商人；貿易商　(形) 商業的；貿易的
merciful	merciful ['mɝsəfəl] (形) 仁慈的；寬恕的　(形) 溫和的；善良的
mercifully	mercifully ['mɝsəfəli] (副) 幸運地；幸好　(副) 仁慈地；寬恕地
merciless	merciless ['mɝsəlɪs] (形) 無情的；殘忍的　(形) 毫不留情的；冷酷無情的
mercury	mercury ['mɝkjɚi] (名) 水銀；汞　(名) 溫度計中的液體
mercy	mercy ['mɝsi] (名) 憐憫；慈悲　(名) 寬恕；饒恕
mere	mere ['mɪr] (形) 僅僅的；只不過的　(名) 湖；池塘
merely	merely ['mɪrli] (副) 僅僅；只不過　(副) 純粹；單純地
merge	merge [mɝdʒ] (動) 合併；融合　(名) 合併；融合
merger	merger ['mɝdʒɚ] (名) 合併；兼併　(動) 合併；融合
merit	merit ['mɛrɪt] (名) 優點；長處　(動) 值得；應得
meritocracy	meritocracy [ˌmɛrɪ'tɑkrəsi] (名) 精英統治制；才能治國制　(形) 精英統治的；按能力選拔的
meritocratic	meritocratic [͵mɛrɪ'tɑkrætɪk] (形) 以能力和成績為基礎的；績效至上的
mermaid	mermaid ['mɝˌmeɪd] (名) 美人魚；人魚
merrily	merrily ['mɛrəli] (副) 快樂地；愉快地　高興地；開心地
merry	merry ['mɛri] (形) 快樂的；充滿歡樂的　(形) 愉快的；高興的
mesh	mesh [mɛʃ] (名) 網眼；網狀物　(動) 嚙合；相互配合　(形) 網狀的；有網眼的
mesmerization	mesmerization ['mɛzməreɪʃən] (名) 迷住；著迷　(名) 催眠狀態；深深吸引
mesmerize	mesmerize ['mɛzməˌraɪz] (動) 使著迷；迷住　(動) 吸引注意力；使目不轉睛
mess	mess ['mɛs] (名) 混亂；髒亂　(動) 弄亂；弄髒
message	message ['mɛsɪdʒ] (名) 訊息；消息　(動) 傳達訊息；發送消息
messenger	messenger ['mɛsɪndʒɚ] (名) 信使；使者　(名) 通訊軟體
messily	messily ['mɛsɪli] (副) 凌亂地；雜亂地
messy	messy ['mɛsi] (形) 凌亂的；雜亂的　(形) 航髒的；不整潔的
metabolism	metabolism [mə'tæbəlɪzəm] (名) 新陳代謝；代謝作用
metal	metal ['mɛtl] (名) 金屬　(形) 金屬製的；由金屬組成的
metallic	metallic [mə'tælɪk] (形) 金屬的；含金屬的　(形) 金屬光澤的；金屬色的
metaphor	metaphor ['mɛtəfɚ] (名) 隱喻；比喻
meteor	meteor ['mɛtɪɚ] (名) 流星；隕星　(名) 氣象儀器
meteorological	meteorological [͵mɛtərə'lɑdʒɪkəl] (形) 氣象的；氣象學的
meter	meter ['mitɚ] (名) 公尺；米　(名) 儀表；計量器　(名) 韻律；節拍
methane	methane ['mɛθen] (名) 甲烷；沼氣
method	method ['mɛθəd] (名) 方法；方式　(名) 步驟；程序
methodical	methodical [mə'θɑdɪkəl] (形) 有條理的；系統的　(形) 仔細的；謹慎的
methodically	methodically ['mɛθədɪkəli] (副) 有條理地；方法性地　(副) 循序漸進地；一步步地
methodology	methodology [mə'θɑdələdʒi] (名) 方法論；研究方法　(名) 方法體系；步驟系統
meticulous	meticulous [mɪ'tɪkjələs] (形) 一絲不苟的；細緻的　(形) 認真仔細的；精確的
meticulously	meticulously [mə'tɪkjələsli] (副) 細心地；謹慎地　小心翼翼地；精確地
metonymy	metonymy [mə'tɑnəmi] (名) 轉喻；轉喻法
metric	metric ['mɛtrɪk] (形) 公制的；以米為單位的　(名) 度量衡；指標
metro	metro ['mɛtro] (名) 地鐵；捷運　(形) 都市的；大都會的
metronome	metronome ['mɛtrənòm] (名) 節拍器；打拍子的機器
metropolis	metropolis [mə'trɑpələs] (名) 大都市；首都
metropolitan	metropolitan [mə'trɑpɑlɪtən] (形) 大都市的；首都的　(名) 大都市居民；大主教
mettle	mettle ['mɛtəl] (名) 勇氣；精神　(名) 品格；脾氣
micro	micro ['makro] (形) 微小的；微觀的　(名) 巨集；微觀
microchip	microchip ['maɪkroʊˌtʃɪp] (名) 微晶片；晶片
microorganism	microorganism [ˌmaɪkro'ɔrgənɪzəm] (名) 微生物；細菌
microphone	microphone ['maikrəfon] (名) 麥克風；話筒
microplastic	microplastic ['maɪkroʊˌplæstɪk] (名) 微塑膠；極小塑膠顆粒
microscope	microscope ['maɪkrəskop] (名) 顯微鏡；放大鏡
microwave	microwave ['maɪkroweɪv] (名) 微波；微波爐　(動) 用微波爐加熱
mid-air	mid-air ['mɪd ɛr] (名) 空中；半空中　(形) 空中的；半空的
mid	mid ['mɪd] (形) 中間的；中部的　(名) 中間；中部
midair	midair [mɪd'ɛr] (名) 空中；半空中　(形) 在空中的；空中的
midday	midday ['mɪdˌde] (名) 正午；中午　(副) 在正午；於中午時分
middle-aged	middle-aged ['mɪdl 'eɪdʒd] (形) 中年的；中年人的
middle	middle ['mɪdəl] (名) 中間；中點　(形) 中間的；中等的　(動) 位於…中間
midnight	midnight ['mɪdˌnaɪt] (名) 午夜；深夜
midst	midst ['mɪdst] (介) 在…之中；在…中間　(名) 中間；中央
might	might ['maɪt] (助) 可能；也許　(名) 力量；威力
mightnt	mightnt ['maɪt ənt] (助動) 可能不會；也許不會
mighty	mighty ['maɪti] (形) 強大的；有力的　(形) 巨大的；龐大的
migraine	migraine ['maɪɡren] (名) 偏頭痛；嚴重頭痛
migrant	migrant ['maɪɡrənt] (名) 移民；遷移者　(形) 遷移的；流動的
migrate	migrate ['maɪˌgret] (動) 遷移；遷徙　(動) 移居；移動
migration	migration [maɪ'greʃən] (名) 遷移；移居　(名) 遷徙；遷移
migratory	migratory ['maɪgrətɔrɪ] (形) 遷移的；候鳥的　(形) 流浪的；漂泊的
mild	mild ['maɪld] (形) 溫和的；溫柔的　(形) 輕微的；不嚴重的
mildly	mildly ['maɪldli] (副) 輕微地；溫和地　(副) 略微；稍微
mile	mile ['maɪl] (名) 英里（長度單位）；里程
mileage	mileage ['maɪlɪdʒ] (名) 里程；英里數　(名) 行駛距離；燃油效率
milestone	milestone ['maɪlˌston] (名) 里程碑；重要的進展
militant	militant ['mɪlɪtənt] (形) 好鬥的；激進的　(名) 激進份子；鬥士
militaristic	militaristic [mɪlə'tɛrɪstɪk] (形) 軍國主義的；好戰的
militarize	militarize ['mɪlɪtɚˌaɪz] (動) 軍事化；使軍國化　使擁有軍事特徵
militarized	militarized ['mɪlɪtɚˌaɪzd] (形) 軍事化的；武裝的
military	military ['mɪlətɛri] (形) 軍事的；軍隊的　(名) 軍隊；軍方
militia	militia ['mɪlɪʃə] (名) 民兵；民間武裝力量
milk	milk ['mɪlk] (名) 牛奶；奶　(動) 擠奶；榨取
milkfish	milkfish ['mɪlkfɪʃ] (名) 虱目魚；一種台灣常見的魚類
milkshake	milkshake ['mɪlkˌʃek] (名) 奶昔；牛奶飲料
mill	mill ['mɪl] (名) 磨坊；工廠　(動) 磨；碾碎
millennia	millennia [mɪ'lɛnɪə] (名) 千年期；數千年
millennial	millennial ['mɪləˌnɛl] (名) 千禧一代；八零九零後　(形) 千禧世代的；關於千禧一代的
millennium	millennium [mɪ'lɛniəm] (名) 千年；千年期
miller	miller ['mɪlɚ] (名) 磨粉機操作者；碾磨者
millet	millet ['mɪlət] (名) 小米；穀粟
millimeter	millimeter ['mɪləˌmitɚ] (名) 毫米；公釐
million	million ['mɪljən] (名) 百萬；一百萬個
millionaire	millionaire ['mɪljəˌnɛr] (名) 百萬富翁；百萬富豪
millisecond	millisecond ['mɪləsɛkənd] (名) 毫秒；千分之一秒
millivolt	millivolt ['mɪlɪˌvolt] (名) 毫伏；千分之一伏特
mimic	mimic ['mɪmɪk] (動) 模仿；學...的樣子　(名) 模仿者；學舌者
mince	mince ['mɪns] (動) 切碎；剁碎　(動) 說話吞吞吐吐；掩飾真意
mind	mind ['maɪnd] (名) 心智；思想　(動) 介意；照顧　(形) 心理的；精神的
mindset	mindset ['maɪndˌsɛt] (名) 心態；思維方式　(名) 信念；觀點
mine	mine [maɪn] (代) 我的；屬於我的　(名) 礦；礦場
miner	miner ['maɪnɚ] (名) 礦工；採礦者　(名) 未成年人
mineral	mineral ['mɪnɚəl] (名) 礦物；礦質　(形) 礦物的；含礦物的
mingle	mingle ['mɪŋgl̩] (動) 混合；交往　(動) 社交；聯誼
miniature	miniature ['mɪnɪətʃɚ] (形) 極小的；縮小的　(名) 微小物；縮小版
miniaturize	miniaturize [mɪnɪətʃəraɪz] (動) 使微小化；縮小
minimal	minimal ['mɪnəməl] (形) 最小的；極少的　(形) 最低的；基本的
minimalism	minimalism ['mɪnɪməlɪzəm] (名) 極簡主義；簡約風格　(形) 極簡的；簡約的
minimalist	minimalist ['mɪnəməlɪst] (名) 極簡主義者；簡約主義者　(形) 極簡的；簡約風格的
minimally	minimally ['mɪnəməli] (副) 最少地；極少地　(副) 基本上；最起碼
minimize	minimize ['mɪnəmɑɪz] (動) 使最小化；減少　(動) 縮小；貶低
minimum	minimum ['mɪnəməm] (名) 最低限度；最小量　(形) 最少的；最低的
mining	mining ['maɪnɪŋ] (名) 採礦；挖礦　(動) 開採；開掘
miniscule	miniscule ['mɪnɪskəl] (形) 極小的；微小的
minister	minister ['mɪnɪstɚ] (名) 部長；部會首長　(動) 提供幫助；照顧
ministerial	ministerial ['mɪnɪstɚiəl] (形) 部長的；閣員的　(形) 內閣的；政府的
ministry	ministry ['mɪnɪstrɪ] (名) 部；閣；ministry　(名) 聖職；宗教事業
minor	minor ['maɪnɚ] (形) 輕微的；較小的　(名) 未成年人；輔修科目
minority	minority ['mɪnɚɪti] (名) 少數；少數派　(形) 少數的；少數人的
mint	mint ['mɪnt] (名) 薄荷；薄荷糖　(形) 嶄新的；未使用過的
minus	minus ['maɪnəs] (介) 減去；扣除　(形) 負的；消極的　(名) 負號；缺點
minuscule	minuscule ['mɪnəskjul] (形) 極小的；微小的　(形) 不重要的；微不足道的
minute	minute ['mɪnɪt] (形) 極小的；微小的　(名) 分鐘；一分鐘
minutely	minutely ['mɪnətli] (副) 詳細地；仔細地　(副) 極小地；微小地
minutia	minutia ['mɪnʊʃə] (名) 微小的細節；瑣碎的事項
minx	minx ['mɪŋks] (名) 調皮的女孩；輕浮的女子
miracle	miracle ['mɪrəkəl] (名) 奇蹟；奇蹟般的事　(形) 奇蹟的；不可思議的
miraculous	miraculous [mɪ'rækjələs] (形) 奇蹟般的；不可思議的　(副) 奇蹟般地；神奇地
miraculously	miraculously [mɪ'rækjələsli] (副) 奇蹟般地；神奇地　(副) 不可思議地；出人意料地
mire	mire ['maɪr] (名) 泥沼；困境　(動) 使陷入困境；纏住
mired	mired ['maɪrd] (形) 陷入困境的；泥濘的；困頓的
mirror	mirror ['mɪrɚ] (名) 鏡子；鏡像　(動) 反映；映照
misandry	misandry [mɪ'sændri] (名) 厭男；仇恨男性
misanthrope	misanthrope ['mɪzænθroʊp] (名) 厭惡人類的人；憤世嫉俗者
misbehave	misbehave [mɪs'hɪv] (動) 行為不當；表現不好
miscarriage	miscarriage [͵mɪs'kærɪdʒ] (名) 流產；小產　(名) 失敗；挫折
miscellaneous	miscellaneous [mɪs'sɛlənɪəs] (形) 雜樊的；各式各樣的
mischief	mischief ['mɪschɪf] (名) 惡作劇；調皮　(動) 製造麻煩；搗亂
mischievous	mischievous [mɪs'tʃɪvəs] (形) 頑皮的；愛捣亂的　(形) 惡作劇的；調皮的
misconception	misconception [mɪsˌkən'sɛpʃən] (名) 錯誤的想法；誤解
misdeed	misdeed ['mɪsˏdid] (名) 不當行為；惡行　(名) 過錯；壞事
misdemeanor	misdemeanor [mɪs'dɪmənɝ] (名) 輕罪；不端行為　(名) 違反市鎮條例的罪行
miser	miser ['mɪzɚ] (名) 守財奴；吝嗇鬼
miserable	miserable ['mɪzɚəbəl] (形) 悲慘的；痛苦的　(形) 令人厭惡的；糟糕的
miserably	miserably ['mɪzərəblɪ] (副) 悲慘地；極其難受地　非常地；令人難受地
miserly	miserly ['maɪzɚlɪ] (形) 小氣的；吝嗇的　(副) 以小氣的方式；吝嗇地
misery	misery ['mɪzɚi] (名) 痛苦；悲慘　(名) 貧困；困境
misfortune	misfortune [mɪs'fɔrtʃən] (名) 不幸；厄運　(名) 災難；困難
misgiving	misgiving [mɪs'gɪvɪŋ] (名) 疑慮；不安　(形) 令人擔憂的；令人懷疑的
misguide	misguide [mɪs'gaɪd] (動) 誤導；引入歧途　(形) 被誤導的；被引入歧途的
misguided	misguided [mɪs'gaɪdɪd] (形) 被誤導的；方向錯誤的
mishmash	mishmash ['mɪʃˌmæʃ] (名) 混亂的混合物；雜亂無章　(形) 混亂的；雜亂的
misinterpret	misinterpret [mɪsɪn'tɝprət] (動) 誤解；誤釋　(動) 曲解；理解錯誤
mislead	mislead [mɪs'lɛd] (動) 誤導；欺騙　(動) 引入歧途；使人上當
misleading	misleading [mɪs'ledɪŋ] (形) 誤導的；欺騙性的
misogyny	misogyny ['mɪsɑdʒɪni] (名) 厭女症；仇恨女性
misophobia	misophobia [͵mɪsə'fobɪə] (名) 厭惡聲音的恐懼症；對噪音的病態恐懼
misplace	misplace [mɪs'ples] (動) 放錯地方；遺失　(動) 弄丟；找不到
misread	misread [mɪs'rɛd] (動) 誤讀；理解錯誤　(動) 看錯；曲解
misrepresent	misrepresent [mɪsrɛprɪ'zɛnt] (動) 不實地代表；歪曲事實
miss	miss [mɪs] (動) 未擊中；錯過　(動) 想念；懷念
missile	missile ['mɪsəl] (名) 飛彈；導彈　(名) 投擲物；拋出物
missing	missing ['mɪsɪŋ] (形) 失蹤的；不見的　(動) 錯過；思念
mission	mission ['mɪʃən] (名) 任務；使命　(名) 目標；宗旨
missionary	missionary ['mɪʃənɛrɪ] (名) 傳教士；宣教師　(形) 傳教的；宣教的
mist	mist ['mɪst] (名) 霧；薄霧　(動) 使模糊；噴霧
mistake	mistake [mɪ'stek] (名) 錯誤；過失　(動) 誤解；弄錯
mistaken	mistaken [mɪ'stek.ən] (形) 錯誤的；弄錯的　(動) 誤認；搞錯
mister	mister ['mɪstɚ] (名) 先生；客人　(動) 稱...為先生
mistreat	mistreat [mɪs'trit] (動) 虐待；不公正對待　(動) 濫用；惡待
mistress	mistress ['mɪstrɪs] (名) 情婦；姘頭　(名) 女主人；女師傅
mistrustful	mistrustful [mɪs'trʌstfəl] (形) 不信任的；懷疑的　(形) 警惕的；不放心的
misty	misty ['mɪsti] (形) 霧濛濛的；朦朧的　(形) 模糊的；不清楚的
misunderstand	misunderstand [͵mɪsʌndɚ'stænd] (動) 誤解；理解錯誤　(名) 誤會；誤解
misunderstanding	misunderstanding [mɪsˌʌndɚ'stændɪŋ] (名) 誤會；誤解　(動) 誤解；理解錯誤
misuse	misuse (動) [mɪsˈjuz] 誤用；濫用　(名) [mɪsˈjus] 誤用；濫用
mitigate	mitigate ['mɪtəˌget] (動) 減輕；緩解　(動) 降低；減少
mix	mix [mɪks] (動) 混合；混媒　(名) 混合物；混音
mixed	mixed ['mɪkst] (形) 混合的；混合成的　(動過) 混合；混在一起
mixture	mixture ['mɪkʃɚ] (名) 混合物；混合　(動) 混合；摻合
moan	moan ['mon] (動) 呻吟；抱怨　(名) 呻吟聲；哭訴
mob	mob ['mɑb] (名) 烏合之眾；暴動群眾　(動) 成群包圍；蜂擁而至
mobile	mobile ['moʊbəl] (形) 可移動的；流動的　(名) 手機；行動電話
mobility	mobility [mo'bɪləti] (名) 流動性；活動能力　(名) 社會流動；職業轉換的機會
mobilize	mobilize [mo'bɪləz] (動) 動員；集結　(動) 調動；激勵
mock	mock ['mɑk] (動) 嘲笑；模仿　(形) 假的；虛假的
mockery	mockery ['mɑkɚi] (名) 嘲笑；嘲弄　(動) 嘲笑；愚弄
mockingbird	mockingbird ['mɑkɪŋbɝd] (名) 模仿鳥；嘲鳥
mode	mode ['mod] (名) 方式；模式　(名) 時尚；款式　(動) 塑造；模擬
model	model ['mɑdl] (名) 模型；範例　(動) 塑造；示範　(形) 模範的；完美的
moderate	moderate (形) [ˋmɑdərɪt] 適度的；溫和的　(動) [ˋmɑdəˌret] 減輕；調和
moderately	moderately ['mɑdɚətlɪ] (副) 適度地；中等程度地　(副) 有節制地；溫和地
moderation	moderation ['mɑdɚeʃən] (名) 適度；溫和　(動) 調節；主持
moderator	moderator ['mɑdɚˌetɚ] (名) 主持人；調解人　(名) 調節器；控制裝置
modern	modern ['mɑdɚn] (形) 現代的；當代的　(形) 新式的；摩登的
modernist	modernist ['mɑdɚnɪst] (名) 現代主義者；現代派藝術家　(形) 現代主義的；前衛的
modernization	modernization [mɑdɚn'zeʃən] (名) 現代化；使現代化
modernize	modernize ['mɑdɚˌnaɪz] (動) 使現代化；改進　(動) 更新；升級
modest	modest ['mɑdəst] (形) 謙虛的；不傲慢的　(形) 適度的；不過分的
modesty	modesty ['mɑdəsti] (名) 謙虛；謙遜　(形) 適度的；不過分的
modification	modification [ˌmɑdəfə'keʃən] (名) 修改；改良　(動) 修改；改進
modify	modify ['mɑdəfaɪ] (動) 修改；改變　(動) 調整；改進
modish	modish ['mɑdɪʃ] (形) 時髦的；流行的　(形) 新穎的；符合潮流的
modulate	modulate ['mɑdjəlet] (動) 調整；調節　(動) 改變音量或語調
module	module ['mɑdʒul] (名) 模組；單元　(名) 課程單位；模塊
moist	moist ['mɔɪst] (形) 潮濕的；濕潤的　(動) 使潮濕；弄濕
moisten	moisten ['mɔɪstən] (動) 使濕潤；使潮濕
moisture	moisture ['mɔɪstʃɚ] (名) 濕度；水分　(動) 使濕潤；增加水分
mold	mold ['mold] (名) 黴菌；霉　(動) 形成；塑造
moldy	moldy ['moldi] (形) 發黴的；有黴菌的
molecular	molecular [mə'lɛkjəlɚ] (形) 分子的；分子層面的
molecule	molecule ['mɑlɪˌkjul] (名) 分子；分子結構
molten	molten ['mol.tən] (形) 熔融的；熔化的　(動) 熔化；融化
moment	moment ['momənt] (名) 時刻；瞬間　(名) 重要性；意義
momentary	momentary ['moʊmɛnˌtɛri] (形) 短暫的；片刻的　(形) 瞬間的；轉眼的
momentous	momentous [mo'mɛntəs] (形) 重大的；重要的　(形) 影響深遠的；關鍵性的
momentum	momentum ['moʊmɛntəm] (名) 動量；勢頭　(名) 推進力；發展勢頭
monarch	monarch ['mɑnɑrk] (名) 君主；統治者　(名) 帝王蝶
monarchy	monarchy ['mɑnɚki] (名) 君主制；君主統治　(名) 君主國；王國
monastery	monastery ['mɑnəstɛri] (名) 修道院；寺院
Monday	Monday ['mʌnde] (名) 星期一；周一
monetary	monetary ['mʌnɪˌtɛrɪ] (形) 貨幣的；金錢的　(形) 與金融制度相關的
monetize	monetize ['mɑnətaɪz] (動) 將某物轉換為金錢；從某物獲利
money	money ['mʌnɪ] (名) 金錢；錢　(名) 貨幣；鈔票
monitor	monitor ['mɑnɪtɚ] (名) 監視器；螢幕　(動) 監控；監測
monk	monk ['mʌŋk] (名) 和尚；僧侶
monkey	monkey ['mʌŋki] (名) 猴子；猿猴
monochrome	monochrome ['mɑnəkroʊm] (形) 單色的；黑白的　(名) 單色畫；黑白影像
monocular	monocular ['mɑnəˌkjulɚ] (形) 單眼的；只用一隻眼睛的
monologue	monologue ['mɑnəlɔg] (名) 獨白；長篇獨自談話　(動) 進行獨白；自言自語
monopolize	monopolize [mə'nɑpəlaɪz] (動) 壟斷；獨占　(動) 佔據全部；獨佔
monotone	monotone ['mɑnəˌton] (名) 單調的聲調；單色　(形) 單調的；無變化的
monotonous	monotonous [mə'nɑtənəs] (形) 單調的；乏味的　(形) 聲調不變的；沉悶的
monotonously	monotonously [mə'nɑtənəslɪ] (副) 單調乏味地；重複枯燥地
monotony	monotony [mə'nɑtəni] (名) 單調；乏味　(形) 單調的；無變化的
monsoon	monsoon ['mɑnsun] (名) 季風；季節風　(形) 季風的；受季風影響的
monster	monster ['mɑnstɚ] (名) 怪物；妖怪　(名) 殘忍的人；惡棍
monstrosity	monstrosity [mɑn'strɑsɪtɪ] (名) 怪物；醜陋的東西　令人厭惡的事物
monstrous	monstrous ['mɑnstrəs] (形) 怪物般的；令人厭惡的　(形) 巨大的；極端的
month	month ['mʌnθ] (名) 月份；一個月的時間
monthly	monthly ['mʌnθli] (形) 每月的；月度的　(副) 每月；按月
monument	monument ['mɑnjəmɛnt] (名) 紀念碑；紀念建築　(名) 歷史遺跡；重要證據
monumental	monumental [mɑnə'mɛntl̩] (形) 紀念性的；宏大的　(形) 重要的；具有歷史意義的
mood	mood ['mud] (名) 心情；情緒　(名) 氣氛；感覺
moody	moody ['mudɪ] (形) 心情易變的；喜怒無常　(形) 陰沉的；沉悶的
moon	moon ['mun] (名) 月亮；月球　(名) 月份
moonlight	moonlight ['munlaɪt] (名) 月光；月光照　(形) 被月光照亮的；月光的
moor	moor ['mʊr] (名) 荒野；沼澤地　(動) 停泊；繫泊
mop	mop ['mɑp] (名) 拖把；抹布　(動) 用拖把擦；清理
mop	mop [mɑp] (名) 拖把；地板擦　(動) 用拖把擦；清潔
moral	moral ['mɔrəl] (形) 道德的；倫理的　(名) 品格；道德教訓
morale	morale ['morəl] (名) 士氣；精神面貌　(形) 道德的；倫理的
morality	morality ['mɔrələtɪ] (名) 道德；品德　(名) 道德性；倫理性
morally	morally ['mɔrəli] (副) 道德上；在道德方面　(副) 倫理上；按照道德原則
more	more ['mor] (形) 更多的；較多的　(副) 更；較；再　(代) 更多的人或物
moreover	moreover [mɔr'oʊvɚ] (連) 而且；此外　(副) 而且；更甚者
morning	morning ['mɔrnɪŋ] (名) 早上；上午　(形) 早晨的；上午的
moron	moron ['mɔrɑn] (名) 笨蛋；傻瓜
moronic	moronic [mə'rɑnɪk] (形) 愚蠢的；低能的　(形) 荒謬的；很傻的
morsel	morsel ['mɔrsəl] (名) 一小塊；少量　(名) 一口食物；小份食物
mortal	mortal ['mɔrtl] (形) 致命的；會導致死亡的　(形) 凡人的；人類的
mortar	mortar ['mɔrtɚ] (名) 砂漿；灰泥　(名) 臼；研缽
mortgage	mortgage ['mɔrgɪdʒ] (名) 抵押貸款；房貸　(動) 抵押；以房屋作為貸款擔保
mortuary	mortuary ['mɔrʃuɛri] (名) 停屍間；殯儀館
mosque	mosque ['mɑsk] (名) 清真寺；伊斯蘭教禮拜堂
mosquito	mosquito ['mɑskito] (名) 蚊子；蚊
moss	moss ['mɔs] (名) 苔蘚；青苔
most	most ['most] (形) 最多的；大多數的　(副) 最；非常
mostly	mostly ['most-li] (副) 大多；主要地　(副) 幾乎；差不多
motel	motel ['motel] (名) 汽車旅館；旅館
moth	moth ['mɔθ] (名) 蛾；飛蛾
mother	mother ['mʌðɚ] (名) 母親；媽媽　(動) 照顧；養育
motherhood	motherhood ['mʌðɚhʊd] (名) 母親身分；母親的狀態
motif	motif ['motɪf] (名) 主題；圖案　(名) 動機；目的
motion	motion ['moʃən] (名) 動作；運動　(動) 揮手示意；提議
motivate	motivate ['motəˌvet] (動) 激勵；鼓舞　(動) 促使；驅使
motivate|	motivate| ['motəvet] (動) 激勵；鼓舞　(動) 促使；驅使
motivation	motivation [ˌmotə'veʃən] (名) 動力；激勵　(名) 理由；目的
motivational	motivational [motɪ'veʃənəl] (形) 鼓舞的；激勵的　(形) 提高幹勁的；振奮人心的
motive	motive ['motɪv] (名) 動機；目的　(形) 推動的；促動的
motor	motor ['motɚ] (名) 馬達；電動機　(形) 與運動有關的；運動的
motorcycle	motorcycle ['motɚˌsaɪkəl] (名) 摩托車；機車
motorist	motorist ['motɚɪst] (名) 汽車駕駛人；開車的人
motorway	motorway ['motɚˌwe] (名) 高速公路；快速道路
motto	motto ['mɑto] (名) 座右銘；格言　(名) 口號；標語
mould	mould ['mold] (名) 黴菌；黴　(動) 使發黴；塑造
mound	mound ['maʊnd] (名) 土堆；丘陵　(動) 堆積；隆起
mount	mount ['maʊnt] (動) 爬上；登上　(動) 安裝；架設　(名) 坐騎；馬匹
mountain	mountain ['maʊntən] (名) 山；高山
mountainous	mountainous ['maʊntənəs] (形) 多山的；山區的　(形) 起伏不平的；崎嶇的
mounted	mounted ['maʊntɪd] (形) 安裝的；固定的　(動) 騎上；登上
mourn	mourn ['mɔrn] (動) 哀悼；悲傷　(動) 為…感到遺憾
mournful	mournful ['mɔrnfəl] (形) 悲傷的；令人哀傷的　(形) 愁苦的；沉鬱的
mouse	mouse ['maʊs] (名) 滑鼠；鼠標　(名) 老鼠；小鼠
moustache	moustache ['mʌstæʃ] (名) 鬍子；上唇鬍
mouth	mouth [maʊθ] (名) 嘴；口腔　(動) 用嘴說；開口說話
mouthpiece	mouthpiece ['maʊθpis] (名) 發言人；代言人　(名) 話筒；麥克風
mouthwatering	mouthwatering ['maʊθˌwɔtərɪŋ] (形) 令人垂涎欲滴的；非常誘人的
movable	movable ['muvəbl̩] (形) 可移動的；活動的　(形) 不固定的；流動的
move	move ['muv] (動) 移動；搬家　(名) 動作；移動
movement	movement ['muvmənt] (名) 運動；移動　(名) 動作；姿態
mover	mover ['muvɚ] (名) 搬家工人；移動者　(名) 推動者；發起人
moviegoer	moviegoer ['muvɪˌgoɚ] (名) 看電影的人；電影迷
